title,type-of-cuisine,ingredients,image-url,price_inr,rating,calories,diet_type
Homemade Baked Beans (Wholesome & Healthy),Fusion,"tomato,salt,cumin powder (jeera),pepper ( pepper),cloves garlic,virgin olive oil,onion,dry beans (such cannellini soya beans),red chilli powder cayenne pepper,dried oregano",https://www.allrecipes.com/thmb/DjCkkDbRRni2h8Lc1zXRlQWmKT8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/18244baked-beans-iFranceC4x3-0981859e6f144c74814e211ec4eaa24a.jpg,390,4,250,veg
Veg Chili Cheese Burgers,Continental,"cheese,salt,burger buns,potato (aloo) pressure,tomato,soy granules,eggs,cumin powder (jeera),tabasco original sauce,sunflower oil,red chilli powder,cloves garlic,red chilli flakes,jalapenos,onion,green bell pepper (capsicum),wheat bread crumbs,dried oregano",https://i.pinimg.com/736x/2c/f7/59/2cf7591367d536bb3b862abb21a390b4.jpg,250,4,900,veg
Andhra Steel Ingavu Charu - Asfoitida Flavored Tamarand Rasam,Andhra,"salt,arhar dal (split toor dal),tamarind water,mustard seeds,asafoetida (hing),curry leaves,cumin seeds (jeera),methi seeds (fenugreek seeds),sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Ingavu_Chaaru_Recipe_Asafetida_flavored_Tamarind_Rasam.jpg,80,4.3,145,veg
And fish soup - Bengali style fish in tomato gravy,Bengali Recipes,"tomato,salt,cumin powder (jeera),coriander powder,bay leaves (tej patta),mustard oil,coriander (dhania) leaves,water,sugar,cumin seeds (jeera),ginger paste,turmeric powder,green chillies,aar maach (fish) rohu katla fish (cut steaks)",https://www.inspiredtaste.net/wp-content/uploads/2018/10/Homemade-Vegetable-Soup-Recipe-2-1200.jpg,290,3.2,390,non-veg
Saunf Aloo (Fennel Potato Curry),Punjabi,"fennel seeds (saunf),potato (aloo) skin,milk,red chilli powder,coriander (dhania) leaves,turmeric powder",https://cdn.apartmenttherapy.info/image/upload/v1631883973/k/Photo/Recipes/2021-09-sonoko-sakai-curry-with-rice/2021-09-09_ATK10551.jpg,260,3.3,385,veg
South Indian Onion Chutney - South Indian Onion Chutney (),South Indian Recipes,"salt,rye,jaggery,black urad dal (split),curry leaves,dry red chillies,onion,oil,tamarind paste,cumin seeds",https://savoryspin.com/wp-content/uploads/2025/01/Easy-pear-chutney.jpg,160,3.9,115,veg
Hariyali Egg Curry In Coriander and Mint Gravy,Indian,"green chillies,ginger,bay leaf (tej patta),coriander (dhania) leaves,mint leaves (pudina),cloves garlic,cinnamon stick (dalchini),onion,coriander powder,eggs,cloves (laung),garam masala powder,sunflower oil",https://cdn.apartmenttherapy.info/image/upload/v1631883973/k/Photo/Recipes/2021-09-sonoko-sakai-curry-with-rice/2021-09-09_ATK10551.jpg,180,3.7,475,non-veg
Gourd Raita - Grated Bottle Gourd Yogurt Salad,Indian,"coriander (dhania) leaves,cucumber grind,salt,green,cumin powder,curd,gourd",https://www.indianveggiedelight.com/wp-content/uploads/2017/06/cucumber-raita-recipe-featured-500x375.jpg,80,4.4,50,veg
Homemade Tater Tots,Continental,"salt,rice flour,coriander (dhania) leaves,onion powder,sunflower oil the r tots,flour (maida),red chilli flakes,garlic powder,potato (aloo),dried oregano",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Homemade_Tater_Tots.jpg,320,3.7,865,veg
Chettinad Vegetable Casserole - Chettinad Vegetable Pulao,Chettinad,"turmeric powder,ginger,rice,ghee,cinnamon,fennel,red chilli powder,cloves garlic,carrot,green beans,onion,bay leaf break,mint leaves,potatoes,pepper,cloves,coriander seeds,green chillies,green peas",https://www.allrecipes.com/thmb/eKu_vXTbZJMdFsd5JdbY7kvDy80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79543-fried-rice-restaurant-style-DDMFS-4x3-b79a6ea27e0344399257ca1df67ca1cd.jpg,140,3.5,655,veg
Garlic Amla Chutney - Lehsun Amla Chutney,Tamil Nadu,"cashew nuts,salt,rye,urad dal,mint,coriander,curry leaves,amla,onion,oil,chana dal,bud garlic,green chillies",https://savoryspin.com/wp-content/uploads/2025/01/Easy-pear-chutney.jpg,100,4.9,185,veg
Maharashtrian Kakdi Thalipeeth - Spiced Cucumber Flat Bread,Maharashtrian Recipes,"salt,wheat flour,cumin powder (jeera),ghee on thalipeeth,coriander (dhania) leaves,red chilli powder,cloves garlic,gram flour (besan),cucumber,coriander powder,rice flour,turmeric powder,green chillies",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Cucumber_Thalipeeth.jpg,160,4.1,715,veg
Homemade Healthy Subway Sandwich With Beet & Sprout,Fusion,"tomato,salt,hung curd (greek yogurt),stalks spring onion (bulb greens),coriander (dhania) leaves,tabasco original sauce,green moong sprouts,cloves garlic,pepper,beetroot,submarine bread (subway bread) (flat breads foot s)",https://www.southernliving.com/thmb/UW4kKKL-_M3WgP7pkL6Pb6lwcgM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Ham_Sandwich_011-1-49227336bc074513aaf8fdbde440eafe.jpg,260,4.2,365,veg
South Indian Style Murungakkai Poriyal - Drumstick Stir Fry,South Indian Recipes,"salt,mustard seeds,coconut,water,drumstick,curry leaves,dry red chillies,turmeric powder,coconut oil,green chillies",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/vidya.masalachilli-gmail.com/Drumsticks_Poriyal__South_Style_Drumsticks_Sabzi_recipe.jpg,170,3.5,285,veg
Kesar Mango Lassi - Saffron Mango Lassi,Indian,"mango pulp (puree),milk cold milk,ice cubes,saffron strands,curd,badam (almond)",https://www.indianveggiedelight.com/wp-content/uploads/2023/01/sweet-lassi-recipe-featured.jpg,140,3.9,210,veg
Chettinad Sweet Paniyaram - Chettinad Sweet Paniyaram,Chettinad,"cardamom powder,salt,idli dosa mixture,coconut,jaggery,rice rava,water,oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/CHETTINAD_SWEET_PANIYARAM_1600.jpg,130,4.3,350,veg
Mini Dal Samosa Curry / Sabzi,North Indian Recipes,"cashew nuts,black cardamom (badi elaichi),tomato,kashmiri red chilli powder,samosas mini,green chilli,ginger,cardamom (elaichi) podsseeds,bay leaf (tej patta),cloves cloves (laung),black peppercorns,sugar,cinnamon stick (dalchini),mace (javitri),onion,coriander powder,turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder,sunflower oil",https://cdn.apartmenttherapy.info/image/upload/v1631883973/k/Photo/Recipes/2021-09-sonoko-sakai-curry-with-rice/2021-09-09_ATK10551.jpg,320,3.6,570,veg
Spinach Garlic Bruschetta With Red Bell Pepper Sauce,Italian Recipes,"tomato,salt,baguette,italian,garlic,onion,cheddar cheese,black pepper powder,tomato pasta sauce,spinach leaves (palak),butter,red bell pepper (capsicum) (",https://www.archanaskitchen.com/images/archanaskitchen/World_appetizer/spinach-garlic-bruschetta-with-red-bell-pepper-sauce.jpg,400,4.4,445,veg
Mini Dal Mature Chat - That Perfect Party Snack,Sindhi,"asafoetida (hing),ajwain (carom seeds),curry leaves,onion,cumin seeds (jeera),turmeric powder,green chillies,chana dal (bengal gram dal),sunflower oil,salt,wheat flour,sev,pomegranate fruit kernels,flour (maida),green chutney (coriander mint),garam masala powder,red chilli powder,sweet chutney (date tamarind),sugar,amchur (dry mango powder),ghee",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Mini_Dal_Pakwan_Chaat_Recipe-9_1600.jpg,240,3.9,775,veg
Asian Style Sweet & Spicy Green Beans,Thai,"salt,green beans (french beans),rice wine vinegar,sesame (gingelly) oil,cloves garlic,soy sauce,thai sweet chilli sauce,lemon,peanuts (moongphali)",https://www.allrecipes.com/thmb/DjCkkDbRRni2h8Lc1zXRlQWmKT8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/18244baked-beans-iFranceC4x3-0981859e6f144c74814e211ec4eaa24a.jpg,190,4.1,560,veg
Chinese Darsaan With Ice Cream,Chinese,"baking powder,water make the dough,water,sugar,vanilla,flour (maida),sesame seeds (til seeds) white,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Articles/Chinese_Darsan_Recipe_Honey_Crispy_Noodles_With_Vanilla_Ice_Cream-4_1_1600.jpg,210,3.9,445,veg
Sundakkai and Methi Leaves Sambar - Sundkai Methi Sambar,South Indian Recipes,"tomato,turmeric powder,salt,coriander (dhania) leaves,fenugreek,sundkai,asafoetida,water,mustard,dry red chilli,curry leaves,oil,coriander powder,arhar dal,tamarind,sambar powder,cumin seeds",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Neeru_Srikanth/Sundaikkai__Methi_leaves_sambar.jpg,90,5,240,veg
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing",Continental,"salt,spinach,virgin olive oil,lemon,pomegranate fruit kernels,cabbage (patta gobi muttaikose),pepper",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Cabbage_Spinach_Pomegranate_Slaw_with_Lemon_Dressing_Recipe_.jpg,390,4.2,180,veg
Matar Samosa -Green Pea Samosa,North Indian Recipes,"salt,cinnamon powder (dalchini),amchur (dry mango powder),ghee,red chilli powder,green peas (matar),water,green chilli sauce,cumin seeds (jeera),flour (maida),garam masala powder,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Richa_Gupta/Matar_ke_Samose.jpg,230,3.7,835,veg
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,Continental,"cheese,baking powder,britannia,raspberries,milk,salted butter,baking soda,sugar,vanilla,dark chocolate,caster sugar,cocoa powder,flour (maida)",https://nutritionfacts.org/app/uploads/2025/05/69-14-is-one-egg-a-day-too-much-1200x675.jpg,230,4.6,745,veg
Kerala pala pradham,Kerala Recipes,"ada,ghee,sugar,cardamom powder (elaichi),milk full",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/jyothir/Kerala_Palada_Pradhaman.jpg,150,3.6,210,veg
Tindora Sambharo - Instant Tendli Pickle,Gujarati Recipes﻿,"salt,sunflower oil,asafoetida (hing),red chilli powder,split methi seeds (methi kuria),tindora (dondakaya kovakkai),lemon,turmeric powder,split mustard seeds (rai kuria)",https://artofpalate.com/wp-content/uploads/2014/05/IMG_8711.jpg,200,4.3,90,veg
Chettinad Style Chicken Roast,Chettinad,"jaggery,cloves garlic,black peppercorns,curry leaves,coriander (dhania) seeds,onion,cumin seeds (jeera),turmeric powder,chicken legs,sunflower oil,salt,cardamom (elaichi) podsseeds,dry red chillies,tamarind paste,kalonji (onion nigella seeds),coconut,mustard seeds,methi seeds (fenugreek seeds),hung curd (greek yogurt),ginger,ghee,fennel seeds (saunf),cinnamon stick (dalchini),cloves (laung)",https://www.allrecipes.com/thmb/koFD08H_utDaUsNc578_YZ2peFg=/0x512/filters:no_upscale():max_bytes(150000):strip_icc()/8635-southern-fried-chicken-ddmfs_4x3-90736ab31a7a4bb59eb04e2380ccebe7.jpg,270,3.2,720,non-veg
Palakottai Kujambu -Kongunad Style Jackfruit Seeds Curry,Tamil Nadu,"tomato,coriander (dhania),jackfruit seeds (kathal),salt,tamarind water,mustard seeds,asafoetida (hing),coconut,red chilli powder,cloves garlic,black peppercorns,curry leaves,dry red chillies,onion,cumin seeds (jeera),coriander (dhania) seeds,turmeric powder,sambar powder,sunflower oil",https://savoryspin.com/wp-content/uploads/2025/01/Easy-pear-chutney.jpg,120,3.5,350,veg
Baingan Bharta - Brinjal Bharta,Punjabi,"tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Baingan_Bharta_Sabzi_Recipe_Smoked_Roasted_Eggplant_with_Green_Chillies_and_Ginger-1.jpg,130,4.3,485,veg
Kesar Chai - A Delicious Saffron Flavored Indian Tea,North Indian Recipes,"milk,water,saffron strands,tea leaves",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Kesai_Chai_Recipe_Indian_Style_Saffron_Tea-1.jpg,190,4.6,250,veg
Pacha Manga Pachadi - Tamil Nadu Raw Mango Pachadi,Tamil Nadu,"turmeric powder,salt,tamarind water,asafoetida,jaggery,mustard,curry leaves,dry red chillies,oil,mango,sambar powder",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Tamil_Nadu_Style_Manga_Pachadi_Recipe_Mango_in_Spicy_and_tangy_Curry_Recipe_.jpg,160,4.3,205,veg
Short Knot Husband - Raw Jackfruit & Black Chickpea Stir Fry,Coorg,"tomato,jackfruit seeds (kathal),ginger,tamarind water,mustard seeds,coconut,cloves garlic,curry leaves,dry red chillies,coriander (dhania) seeds,cumin seeds (jeera),cinnamon stick (dalchini),turmeric powder,cloves (laung),kala chana (brown chickpeas)",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/July-25/Mudi_Chekke_Barthad_Recipe_Raw_Jackfruit_Seeds_and_Black_Chickpea_Sabzi-2_1600.jpg,200,4.1,210,veg
Whole Wheat Crepe With Herbed Vegetables,Coorg,"salt,wheat flour,red bell pepper (capsicum),cheese flavoured,italian,parsley leaves,onion,broccoli",https://www.archanaskitchen.com/images/archanaskitchen/World_Main_Course/Whole_Wheat_Crepe_Recipe_Stuffed_With_Herbed_Vegetables-1.jpg,140,4,245,veg
Makki and Methi Roti,Punjabi,"salt,makki ka atta (yellow corn meal flour),kashmiri red chilli powder,ajwain (carom seeds),methi leaves (fenugreek leaves),green chillies",https://werecipes.com/app/uploads/2015/04/phulka-roti-chappati-recipe.jpg,220,3.5,250,veg
Cabbage and Carrot Sambharo - Gujarati Vegetable Stir Fry,Gujarati Recipes﻿,"salt,mustard seeds,asafoetida (hing),carrot,curry leaves,sugar,lemon,green bell pepper (capsicum),turmeric powder,green chillies,cabbage (patta gobi muttaikose),sunflower oil",https://artofpalate.com/wp-content/uploads/2014/05/IMG_8711.jpg,130,3.8,330,veg
Whole Wheat Pita Bread,Continental,"salt,wheat flour,water,dry yeast,virgin olive oil,sugar,flour (maida)",https://www.archanaskitchen.com/images/archanaskitchen/World_Breads/Whole_Wheat_Pita_Bread_Recipe-2.jpg,220,4,480,veg
Andhra Steel Tomato Knock (Tomato Chutney),Andhra,"tomato,salt,mustard seeds,red chilli powder,cloves garlic,dry red chillies,methi seeds (fenugreek seeds),tamarind paste,turmeric powder,sunflower oil",https://savoryspin.com/wp-content/uploads/2025/01/Easy-pear-chutney.jpg,80,4.7,115,veg
Herbal Brown Rice - Herbal Brown Rice,Continental,"salt,brown rice,rosemary,red chilli flakes,water,onion,garlic,oil,oregano",https://www.allrecipes.com/thmb/eKu_vXTbZJMdFsd5JdbY7kvDy80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79543-fried-rice-restaurant-style-DDMFS-4x3-b79a6ea27e0344399257ca1df67ca1cd.jpg,230,4.4,445,veg
Rajasthani very roti,Rajasthani,"salt,wheat flour,water,ghee",https://werecipes.com/app/uploads/2015/04/phulka-roti-chappati-recipe.jpg,180,3.3,250,veg
Peerkangai Thogayal (Ridge Gourd Peel Chutney),South Indian Recipes,"salt,ridge gourd skin (turai peerkangai),mustard seeds,curry leaves,white urad dal (split),dry red chillies,methi seeds (fenugreek seeds),tamarind,sunflower oil",https://savoryspin.com/wp-content/uploads/2025/01/Easy-pear-chutney.jpg,140,4.4,105,veg
Dalia Pakora - Dalia Pakora,Indian,"salt,wheat (dalia godumai rava),water make pakora batter,enos fruit salt,green chilli,coriander (dhania) leaves,ajwain (carom seeds),sunflower oil the pakoras,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Dalia_Pakora_Broken_Wheat_Pakora_Recipe-4_1600.jpg,110,4,790,veg
Paneer Tikka Saddle Roll,Bengali Recipes,"salt,wheat flour,hung curd (greek yogurt),ginger,ghee,paneer,chaat masala powder,cloves garlic,gram flour (besan),onion,lemon,coal giving smoked flavour,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder",https://lh4.googleusercontent.com/proxy/EG-kWc7b5gqVrXOriIpVK4ao-jNHc5WfpDzv2g0PV_yIhzAl4tAXAy_9q69f00QG-3odYcWYf2jb7keCIUv5DCp2xp16tSMiXnpn,390,3.9,890,veg
Pan Fried Rice Balls Filled With Cheese,Continental,"salt,jasmine rice,eggs fork,mozzarella cheese,virgin olive oil,onion,parsley leaves,sweet corn,parmesan cheese,flour (maida),wheat bread crumbs,butter,sunflower oil",https://www.allrecipes.com/thmb/eKu_vXTbZJMdFsd5JdbY7kvDy80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79543-fried-rice-restaurant-style-DDMFS-4x3-b79a6ea27e0344399257ca1df67ca1cd.jpg,280,4.5,900,non-veg
Spicy Seafood Stew Casserole With Tomatoes And Lime,South Indian Recipes,"tomato,salt,cumin powder (jeera),red chillies,fish fillet basa,paprika powder,coriander (dhania) leaves,chicken stock,cloves garlic,carrot,virgin olive oil,onion,lemon,baby potatoes,black pepper powder,coconut milk,clamps,prawns",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Spicy_Seafood_Stew_Casserole_with_Tomatoes_and_Lime.jpg,150,4.7,750,non-veg
Spicy Chilli Garlic Noodles,Asian,"salt,water,cloves garlic,soy sauce,white vinegar,green bell pepper (capsicum),tomato ketchup,onion,dry red chillies (chilli flakes),black pepper powder,hakka noodles,red chilli sauce,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/chilly_garlic_noodles_1600.jpg,220,4.7,330,veg
Chanar Dal - Bengali Steel Paneer & Potato Gravy,Bengali Recipes,"tomato,salt,ginger,bay leaf (tej patta),paneer,potato (aloo),red chilli powder,dry red chilli,sugar,cumin seeds (jeera),panch phoran masala,turmeric powder,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Chanar_Dalna.jpg,130,3.8,620,veg
Cheesy Garlic Broccoli Nuggets,Indian,"salt,corn flour,nutralite cheesy garlic mayo,mozzarella cheese,nutralite garlic oregano pan roasting,broccoli florets,wheat bread crumbs",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Cheesy_Garlic_Broccoli_Nugget_recipe-5.jpg,250,4,600,veg
Bengali radish potato vegetable,Bengali Recipes,"salt,kasundi mustard sauce,kalonji (onion nigella seeds),green chilli,mustard oil,mustard seeds,potato (aloo),red chilli powder,sugar,onion,cumin seeds (jeera),turmeric powder,mooli mullangi (radish)",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Bengali_Mooli_Aloo_Ki_Sabzi_in_Mustard_Gravy.jpg,270,4.4,305,veg
Beetroot Sambar,South Indian Recipes,"salt,coriander,tamarind water,asafoetida,mustard,curry leaves,dry red chilli,chakundar,sesame oil,arhar dal,sambar powder",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Dal_Khadi_Curry/Beetroot_Sambar_Recipe-4-2.jpg,180,4.7,210,veg
Kaddu Palak Roti (Pumpkin Spinach Flat Bread),North Indian Recipes,"salt,wheat flour,spinach,red chilli powder,sunflower oil rotis,cumin seeds (jeera),parangikai pumpkin (red preferably),coriander powder,water dough,turmeric powder",https://werecipes.com/app/uploads/2015/04/phulka-roti-chappati-recipe.jpg,150,4,250,veg
Iranian Baida Curry,Middle Eastern,"salt,ginger,eggs,coconut,jaggery,cloves garlic,dry red chilli,coriander (dhania) leaves,coriander (dhania) seeds,onion,poppy seeds,badam (almond),sesame seeds (til seeds),sunflower oil",https://cdn.apartmenttherapy.info/image/upload/v1631883973/k/Photo/Recipes/2021-09-sonoko-sakai-curry-with-rice/2021-09-09_ATK10551.jpg,260,4.1,450,non-veg
Vegan Chickpea Omelette (Spiced Chickpea Flour Pancakes),North Indian Recipes,"tomato,salt,ginger,asafoetida (hing),coriander (dhania) leaves,ajwain (carom seeds),cloves garlic,water,gram flour (besan),baking soda,onion,coconut milk,turmeric powder,green chillies,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Vegan_Chickpea_Omelette.jpg,240,3.6,700,veg
Peanut Pudding - Salt Pudding / Firm Mod Modak,Maharashtrian Recipes,"salt,ginger,sunflower oil,asafoetida (hing),mustard seeds,sesame (gingelly) oil,water,curry leaves,rice flour,green chillies,white urad dal",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Ulundu_Kozhukattai_Recipe_-_Uppu_Kozhukattai_Urad_Dal_Modak-4.jpg,160,3.6,550,veg
Singapore Style Chicken Layered Fried Rice,Asian,"spring onion greens,cumin powder (jeera),carrot,onion,black pepper powder,green chillies,sunflower oil,eggs noodles tossed oil,salt,soy sauce,white pepper powder,rice,chinese spice powder,red chilli powder,garlic,lemon,classic mayonnaise (with eggs),sweet spicy red chilli sauce (tomato chilli sauce),boneless chicken,ginger,spring onion (bulb greens),tomato ketchup,vinegar,green bell pepper (capsicum),red chilli sauce",https://www.allrecipes.com/thmb/koFD08H_utDaUsNc578_YZ2peFg=/0x512/filters:no_upscale():max_bytes(150000):strip_icc()/8635-southern-fried-chicken-ddmfs_4x3-90736ab31a7a4bb59eb04e2380ccebe7.jpg,230,4.6,900,non-veg
Tofu Pulao,Indian,"turmeric powder,salt,tomato take,rice,ghee,capsicum (green) red yellow,red chilli powder,lentil sugar,ginger garlic paste,coriander,bay leaf,onion,coriander powder,tofu,green chillies,cumin seeds,garam masala powder",https://www.allrecipes.com/thmb/eKu_vXTbZJMdFsd5JdbY7kvDy80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79543-fried-rice-restaurant-style-DDMFS-4x3-b79a6ea27e0344399257ca1df67ca1cd.jpg,220,4.9,495,veg
Masala Sandwich With Rocket Leaves,Fusion,"tomato,pav bhaji masala,salt,ginger,french bread rye bread,coriander (dhania) leaves,paneer,rocket leaves salad leaves the sandwich,cloves garlic,onion,green bell pepper (capsicum),potato (aloo)",https://www.southernliving.com/thmb/UW4kKKL-_M3WgP7pkL6Pb6lwcgM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Ham_Sandwich_011-1-49227336bc074513aaf8fdbde440eafe.jpg,340,4.2,885,veg
Tomato Relish,Continental,"tomato,salt,red wine vinaigrette,cloves garlic,virgin olive oil,onion,black pepper powder,dijon mustard,cane sugar,dried oregano",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Tomato_Relish.jpg,410,4.7,260,veg
Dubuk Vade - Khandeshi Gram Flour Dumpling Curry,Maharashtrian Recipes,"salt,coriander (dhania) leaves,coconut,red chilli powder,cloves garlic,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,garam masala powder",https://cdn.apartmenttherapy.info/image/upload/v1631883973/k/Photo/Recipes/2021-09-sonoko-sakai-curry-with-rice/2021-09-09_ATK10551.jpg,210,4.4,575,veg
Radish Soup,Indian,"salt,coriander (dhania) leaves,water,mooli mullangi (radish) purple,black pepper powder,mooli mullangi (radish),garam masala powder",https://www.inspiredtaste.net/wp-content/uploads/2018/10/Homemade-Vegetable-Soup-Recipe-2-1200.jpg,190,3.9,50,veg
